2722
11287	38hmj	4
20318	39	2
21647	390	1
17691	397	1
4294	3c	2
13938	3c2	1
2972	3d	27
15573	3dec	1
14851	3dp	1
19321	3dq	1
12680	3f	1
19819	3fe	1
19369	3g71	1
19985	3gpa	1
13884	3h13g18s2ca	1
13037	3k	1
6816	3m	3
18613	3mm	1
8616	3mn	1
11607	3mo	1
16035	3nicucrmo	1
15103	3p	2
16998	3s	1
21399	3sek	1
7018	3smp	1
17450	3t3balb	1
22778	3ta	1
19714	3v	4
8878	3w	2
3554	3x	2
11421	3x1018	1
14005	3ytzp	1
1366	4	306
6348	40	54
6703	400	13
4999	4000	4
19370	40000	1
5375	400c	3
10315	400k	2
20779	400kv	1
15136	400oc	1
10861	402	2
9582	40c	3
8575	40h	6
11596	40hm	3
18810	40nm	1
12010	40plmm	1
8963	41	8
5706	410	2
5609	4100	2
20409	41300	1
13709	42	6
3628	420	1
13604	420k	2
19559	424	1
4706	425	3
7484	4296	1
10516	43	2
21648	430k	1
20841	4343	1
21527	434l	1
2176	437	1
4120	44	3
16138	440	1
1901	45	26
7148	450	6
21049	450000	1
942	450c	6
10588	450k	1
21528	452	1
16090	453	1
16815	455	1
15209	4550	1
11725	45c	2
14490	45h	1
18811	45nm	1
9409	46	2
21529	466	1
15104	46c	1
13495	47	1
10921	470	1
1833	48	3
16139	480	1
8926	485	1
3976	488	1
3977	488vxi	1
21383	48al	2
7278	48v	1
1834	49	4
1367	495	1
20042	4al0	1
16767	4c90	2
18227	4ct90	3
20715	4euro	1
16563	4f	1
13442	4f32	1
19879	4f52	1
20043	4fe0	2
8237	4g	1
14525	4gdm3	1
21580	4h	1
19935	4h13	1
19532	4hcl	1
8369	4he	1
10962	4i	1
17225	4in0	1
13038	4k	1
3664	4kmin	1
16251	4kvns	1
16343	4m	2
14756	4s	2
12562	4sr2ca2cu3o	1
2480	4t	2
22779	4ta	1
5134	4v	9
16735	4ws	1
10431	4x10	1
22512	4x1017na	1
21123	4zr	1
7691	4ćm	1
117	5	333
2552	50	77
5439	500	22
9135	5000	2
11665	50000	1
14083	500000	1
11615	5000k	1
1858	500c	3
3385	500k	2
12729	500oc	1
11726	501	1
11401	503	1
13900	5050	2
19964	5059	1
19965	5083	1
7910	50c	4
20876	50g	1
18617	50h21g9n4	1
21221	50hs	1
8891	50hz	1
22534	50m	1
13756	50mm	1
11331	50n	1
20780	50ns	1
12011	50plmm	1
13901	50v	1
6926	51	5
6482	510	2
10316	51019cm	1
18260	513d	1
19880	514	1
9891	52	7
13809	520	3
16140	520c	2
18200	523	1
11770	53	2
21658	531	1
17386	53900	1
8783	54	1
6424	540	2
15164	5400	1
14424	541	1
21865	542	1
12987	543	1
4172	544	1
4707	55	11
13902	550	4
14930	5500h	1
18873	5500lv	1
16919	550650c	1
943	550c	2
20985	5545	1
12839	55c	3
22041	55nicrmov7	1
13975	55nm	1
2456	56	5
16726	56002	1
11727	561	1
4656	563	1
7544	565k	1
20696	567	1
19846	568	1
7545	568k	1
10185	57	3
20228	571	1
12573	57500	1
19966	5754	1
7546	578k	1
3478	57fe	4
4219	58	2
10351	580	1
16036	580c	1
13948	5832	1
10340	59	2
12718	5932	1
13348	597	1
5201	5ag	1
16004	5al137	1
12820	5b13	1
1602	5bx	1
14571	5c	2
18639	5coo3	1
12821	5cr7si4	1
7490	5cu	1
21668	5d	1
17664	5do	1
12822	5fe3b3	1
16674	5g	1
5069	5h17g17	2
10115	5j	1
12790	5m	1
20304	5mhz	1
12616	5mn	2
19967	5mn0	1
16193	5mo	2
16194	5ms	1
17226	5n	1
12681	5o2	1
16868	5o3	1
12823	5si13	1
18640	5sr0	1
16978	5ta	1
11698	5ta0	2
11402	5tao	1
17014	5v	1
14491	5w40	1
17227	5x	1
5518	5x10	1
9879	5x5	2
6563	5x5x24	1
11616	5x5x5	1
22504	5xxx	1
9477	5ćm	1
1964	6	145
3707	60	39
7491	600	11
6374	6000	1
21682	60000	1
21496	60006	1
21497	60012	1
11666	600c	5
20735	600kw	1
13976	600nm	2
14948	600nmm2rpo	1
18641	600oc	1
13903	600v	1
14441	601	1
19511	6010442	1
22853	602	1
22260	6060	1
8591	60c	4
8309	60mm	1
11653	60mpa	1
16349	60oc	1
21222	60s2a	1
6302	61	3
10317	61017cm	1
15153	61c	1
6927	62	5
10432	620k	1
20216	625	1
13172	62d248cd	1
6303	63	4
3665	633	1
7547	638k	1
11082	64	7
16037	640c	1
14678	64e	1
17498	64kb	1
4601	64mb	1
3728	65	13
9509	65'c	1
1368	650	3
944	650c	2
20986	650dtexx	1
12574	650oc	2
15087	651	1
7548	654k	1
7549	658k	1
12892	65c	1
6425	66	4
7279	667	1
6304	67	4
15775	670	1
4657	6721	1
16816	676	1
10866	677	1
15154	68	1
13406	680	1
4776	68078	1
7550	683k	1
7221	68hc11	1
13496	68mm	1
9568	69	2
7492	690	1
18584	69761	1
18593	6ai	1
5135	6al	9
10085	6al2024	1
12682	6co2	1
3688	6cr	1
7149	6ct	1
14837	6deg	1
9659	6g	1
19421	6h	1
13757	6mm	1
19136	6mv	1
12683	6na2co3	1
12684	6na3aso4	1
17228	6o6	1
12563	6pb0	1
15255	6phb	1
17052	6ti49	1
18013	6x	1
20827	6xxxal2o3p	1
7305	6za40s	1
5202	6zr	1
7477	6ćm	1
1809	7	104
192	70	23
7927	700	8
3666	7000	1
3581	700c	2
10439	700mpa	3
10495	7020	1
13904	7030	1
13905	70a	1
7812	70mhz	1
12012	70plmm	1
16920	713	1
14931	715	1
16188	718	1
10413	72	7
12140	720	3
16005	720c	1
7551	720k	1
12893	723	1
18759	73	2
19847	744	1
2177	75	16
17431	750	1
19724	75000	1
17218	750880	1
14932	750c	2
8681	750c0	1
6928	752	1
11654	755	1
18228	75c	1
5456	75x75	1
12524	76	4
8172	76222	1
4922	77	5
5404	770	1
12719	77014	1
12720	7737	1
7552	778k	1
12564	77k	2
4121	78	3
7553	783k	1
13497	786	1
13498	788	1
15210	7887	1
538	78h	1
18628	79	1
7554	790k	1
14572	79c	1
18585	79m	1
11645	7c3	2
15211	7k	1
16344	7m	1
19820	7ni	1
6358	7t07d	1
3160	7t07g01208p01	1
22505	7xxx	1
20828	7xxxal2o3p	1
16979	7zr	1
1650	8	119
3667	80	21
1651	800	12
6805	8000	3
14757	80000s	1
14035	800c	5
21991	800mv	1
6817	801000	1
19020	802	1
13906	8020	1
9865	802av	1
20845	805	1
18435	8090	1
3956	80c	1
20267	80c167	1
16289	81	2
10086	8178	3
7555	820	3
12721	82013	1
6564	820c	1
17520	8211	2
20681	8217	1
19103	8221	2
21595	8222	1
17521	8230	1
11728	827	1
13670	82b	1
12962	83	2
5405	830	2
7556	833k	1
11359	835	1
7485	84	4
10087	8416c	1
18201	8420	1
18202	8420cvs	1
18594	843	1
7557	848k	1
7558	85	9
7911	850	2
21366	8500	1
8734	850c	4
3386	850k	2
12565	858k	1
12758	86	2
5406	860	1
7559	863k	1
13751	867	1
7560	868k	1
8645	86cu0	1
2178	87	1
17185	870	1
16049	873	2
7561	873k	1
22780	875c	1
11403	876	1
14036	880c	1
20319	8828125	1
18229	88c	1
17037	89	1
16293	898	1
17038	89y	1
13710	8cu1	2
7392	8e	1
10569	8gpa	1
8646	8li0	1
12730	8ml	1
15204	8mm3n	1
21437	8ms	1
15987	8n	1
17630	8s50301105	1
18642	8sm0	1
18040	8t12a06220	1
16882	8zn0	1
9478	8ćm	1
1965	9	58
193	90	32
7562	900	6
9168	9000	2
14933	9001150c	1
14934	900950c	1
1810	900a	1
11105	900c	8
13885	900oc	1
19991	900s	1
8173	9010	2
11106	901300	1
14573	90c	2
17356	90na	1
10298	90o	1
17665	90ooraz	1
19821	90w	1
6375	91	2
14514	91521012	1
19823	915c	1
10449	92	3
12194	920	1
15776	922	1
16294	923	1
22680	9283	1
4795	93	3
18651	930c	1
18325	9380	1
13685	94	4
21210	944	1
8647	945	1
17971	949we	1
2013	95	21
6908	950	2
3668	9500	1
6565	950c	6
8784	96	4
16164	961	1
4079	97	9
15777	973	2
15038	97e	1
4708	98	10
8698	980	2
14935	980c1hwoda	1
18700	980k	1
19827	980nm	1
17972	9837we	1
8648	986	1
13313	98g	1
18326	98gcm3	1
10765	98nt	1
5482	99	16
10341	992	2
18965	9c	1
12685	9cao	1
18966	9cwniosku	1
12686	9h2o	1
18643	9i	1
11175	9k	1
13499	9n	1
11475	9r	1
14425	9t	1
13361	9t12c05116	1
19824	9x10	1
13485	9xme2000ntxp	1
316	:	1236
118	;	763
1603	=	108
7464	?	25
10041	ABS	8
2313	AC	10
2638	AF	4
7813	AFP	3
7002	AGH	7
7563	AI	2
16781	AK	1
1531	AL	97
8404	AP	2
22580	API	1
11627	APS	2
14467	ASR	2
22209	ATP	1
19021	Ada	1
16516	Allan	1
22513	Alpy	1
4173	Amiga	1
2014	Amos	1
9909	Amsterdam	1
4014	Anda	13
13186	Andrzej	1
13500	Anita	1
19371	Arrow	1
13253	Australia	1
18738	Austria	1
14141	Aza	1
3708	BH	2
9608	BN	8
10063	BOS	3
5519	BR	5
16195	BS	1
22066	BSA	1
5684	BW	1
13015	Banach	1
4306	Barbar	3
22801	Bartosz	1
21763	Bałtyk	1
16724	Beda	3
10836	Belgia	1
14409	Bełchatów	1
6862	Białystok	1
21168	Biliński	1
19246	Bogdański	1
1014	Bolko	1
18187	Borna	1
18203	Brema	1
20563	Brown	1
9448	Bruksela	1
2457	Budryk	3
6889	Bydgoszcz	2
1222	CAD	12
4974	CAM	3
2179	CC	3
3891	CCI	1
1835	CD	11
4464	CL	11
21672	CPN	1
9928	CPU	1
18860	CV	2
13407	CXC	1
13550	Cambridge	1
4272	Carlo	16
19003	Carra	1
9712	Celsjusz	1
19867	Christian	1
14385	Chwałowice	2
18567	Cohen	1
20238	Collins	1
14758	Cook	1
4884	Coulomb	5
9499	Curie	7
12195	Czechy	1
6890	Czesław	1
20906	Częstochowa	2
3358	D	40
2180	DC	3
6717	DII	1
22357	DLS	1
6490	DM	2
11843	DS	1
17432	DV	1
15505	DX	1
13517	Danusia	1
21291	Detroit	1
20836	Doppler	1
